,tweetID,tweetText,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
0,1002258984416428032,Don’t Be Afraid to Buy Microsoft Corporation Stock Near Its All-Time-High (Nicolas Chahine/InvestorPlace) https://t.co/rI2rC80HXo,0,0,dlvr.it,2018-05-31 18:42:17,505059498,TINMSFTNews,TIN-Microsoft News,2012-02-26 22:00:14,"Always updating tech news stream for techies, stockholders, or anyone invested in technology.     This is the MICROSOFT news feed.",53,0,San Francisco,
1,1002240669367271424,Microsoft Corporation Stock Offers the Best of Both Worlds - https://t.co/O9uHiUi15m @GreenSystemsNg,0,0,Twitter Web Client,2018-05-31 17:29:30,759574556,GreenSystemsNg,Green Systems™,2012-08-15 15:21:06,Virtual Assistant Services. Work from Home Opportunities.  Software development  Web/ Social media. Whatsapp:+2348100003607Mail: info@greensystems.com.ng,3122,986,"Lagos, Nigeria.",
2,1002235399408967680,"RT @politicalHEDGE: 💥Breaking #Finance Article 💥

Microsoft Corporation Passes Google and It’s Not Stopping  

https://t.co/V2htQ8uQDA",1,0,Twitter for iPhone,2018-05-31 17:08:34,790019230389248000,politicalHEDGE,political HEDGE,2016-10-23 02:37:17,"Follow Us For Minute by Minute: Political, Business & World News, 24hrs a Day!",94508,92713,United States,
3,1002229921714860032,Microsoft Corporation Passes Google and It’s Not Stopping (Josh Enomoto/InvestorPlace) https://t.co/PGUznsRa73,0,0,dlvr.it,2018-05-31 16:46:48,505059498,TINMSFTNews,TIN-Microsoft News,2012-02-26 22:00:14,"Always updating tech news stream for techies, stockholders, or anyone invested in technology.     This is the MICROSOFT news feed.",53,0,San Francisco,
4,1002226543983300608,"Microsoft : Unravel, now on Azure HDInsight, helps devs build fast, reliable big data apps  https://t.co/dqBHS6IXIT",0,0,Zonebourse Communauté,2018-05-31 16:33:23,102325185,ForTraders,4-traders.com,2010-01-06 09:33:43,"Find all financials news in real time. Equities, Indexes, Commodities, Currencies, Analysis, Top & Flop @4tradersleaders",8901,82,,
5,1002226476312420352,Microsoft : Everything you need to know about Xbox at E3 2018  https://t.co/wYoS7GIGK2,0,0,Zonebourse Communauté,2018-05-31 16:33:07,102325185,ForTraders,4-traders.com,2010-01-06 09:33:43,"Find all financials news in real time. Equities, Indexes, Commodities, Currencies, Analysis, Top & Flop @4tradersleaders",8901,82,,
6,1002222737409142784,"United States v. Microsoft Corporation, 253 F.3d 34 (D.C. Cir. 2001), is a U.S. antitrust law case, ultimately sett… https://t.co/N0KaWBpDoj",0,0,Twitter for Android,2018-05-31 16:18:15,954757196683804677,1G4Peace,Honorable Cowboy,2018-01-20 16:47:09,"I never took money knowingly, as a paycheck or commission in exchange for the sacrifice of my morality--NOT ONCE!  What's your price?",131,28,"Snowflake, AZ",
7,1002222722645143554,Microsoft : New to Microsoft 365 in Mayâempowering and securing users  https://t.co/kxO3BS93a4,0,0,Zonebourse Communauté,2018-05-31 16:18:12,102325185,ForTraders,4-traders.com,2010-01-06 09:33:43,"Find all financials news in real time. Equities, Indexes, Commodities, Currencies, Analysis, Top & Flop @4tradersleaders",8901,82,,
8,1002220956197183489,Microsoft Corporation Passes Google and It’s Not Stopping https://t.co/CNaSBjnLSP,0,0,WY_Butler,2018-05-31 16:11:10,813284422401171457,WY_Butler,WY_Butler,2016-12-26 07:24:51,,58,0,,
9,1002220247288606722,Microsoft : gives parents peace of mind with new family features across devices  https://t.co/OZYKLERunJ,0,0,Zonebourse Communauté,2018-05-31 16:08:21,102325185,ForTraders,4-traders.com,2010-01-06 09:33:43,"Find all financials news in real time. Equities, Indexes, Commodities, Currencies, Analysis, Top & Flop @4tradersleaders",8901,82,,
10,1002219451872366592,$FB Microsoft Corporation Stock Offers the Best of Both Worlds https://t.co/uw0lwoNt8S,0,0,IFTTT,2018-05-31 16:05:12,216843073,LloydCreekStock,LloydCreekStocks,2010-11-17 21:39:35,Lloyd Creek - Group of investors focused on bullish stocks/options - Mainly long-term - risk-averse - glad to receive your view,1090,1557,,
11,1002218920277835776,Microsoft Corporation Passes Google and It’s Not Stopping https://t.co/835XDo6B5b,0,0,WordPress.com,2018-05-31 16:03:05,561742581,HedgeBz,HEDGE accordingly📈,2012-04-24 02:32:10,"Over 10 Years In The Business, Wall St, & Political News Biz.",26648,26625,,
